2021-10-15,www,en100,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,ml,ma6,soc,soc,soc,soc,soc,soc,soc,soc,ma6,www,sl,soc,soc,soc,ml,soc,soc,soc,soc,soc,soc,soc,soc,soc
2021-10-16,soc,soc,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,soc,br,eu,eu,eu,eu,eu,eu,eu,eu,eu,eu,soc,soc,soc,ml,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc
2021-10-17,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,soc,soc,soc,soc,soc,soc,soc,ml,soc,soc,soc,soc,ml,pw,pw,soc,ex,sl,ap,sl,sl,sl,sl,ml,soc,soc,www,soc,en100
2021-10-18,en100,en100,en100,en100,en100,en100,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,pw,cs156,ml,cs156,www,pw,soc,soc,soc,soc,soc,soc,soc,www,sl,www,www,ma6,ma6,ma6,ml,ma6,ma6,ma6,ma6,ma6,ma6
2021-10-19,br,www,www,en100,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,en100,en100,en100,ml,ap,cl,cl,cl,ee111,pw,ma6,www,sl,sl,www,ma6,ml,ml,soc,ee111,ee111,ee111,ee111,ee111,ee111,ee111,ee111
2021-10-20,ml,soc,www,www,pa,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,ex,ex,ex,soc,ml,ml,www,www,sl,sl,sl,sl,www,www,soc,ml,cl,cl,cl,cl,cl,www,tv,tv,www,www,www
2021-10-21,soc,ml,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,en100,en100,en100,ml,soc,ex,soc,cs156,sl,sl,sl,www,rt,rt,rt,rt,ml,soc,soc,soc,soc,cs156,www,cs11,me13,me13,soc
2021-10-22,soc,ml,www,tv,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,soc,ml,ex,sl,sl,sl,sl,www,soc,ml,soc,soc,soc,soc,soc,me13,me13,soc,soc,soc,soc,soc,soc,ex
2021-10-23,ex,ml,soc,soc,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,ap,pw,cl,ml,soc,sl,sl,soc,pw,tv,tv,tv,tv,tv,tv,pw,ml,soc,www,br,cs156,cs156,soc,soc,soc
2021-10-24,soc,soc,soc,soc,soc,soc,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,soc,ml,soc,sl,sl,sl,rt,rt,pa,pa,pa,soc,soc,soc,soc,soc,ml,soc,tv,tv,tv,ex,tv,soc,soc,soc
